"","ID_Object","Value","Name"
"1",0,2.457924604,"Area"
"2",1,2.167613506,"Area"
"3",2,2.113203287,"Area"
"4",3,2.197004795,"Area"
"5",4,2.264834404,"Area"
"6",5,2.350581169,"Area"
"7",6,2.293594599,"Area"
"8",7,2.49929285,"Area"
"9",8,2.187229395,"Area"
"10",9,2.206758738,"Area"
"11",10,2.264834404,"Area"
"12",11,2.167613506,"Area"
"13",12,2.231048346,"Area"
"14",13,1.945557475,"Area"
"15",14,2.022620678,"Area"
"16",15,2.522127867,"Area"
"17",16,2.264834404,"Area"
"18",17,2.594517708,"Area"
"19",18,2.162694931,"Area"
"20",19,2.255206823,"Area"
"21",20,2.444057941,"Area"
"22",21,1.945557475,"Area"
"23",22,1.961090326,"Area"
"24",23,1.986843944,"Area"
"25",24,2.288813591,"Area"
"26",25,2.992915392,"Area"
"27",26,1.840359926,"Area"
"28",27,1.732064366,"Area"
"29",28,2.226200819,"Area"
"30",29,2.103235006,"Area"
"31",30,2.293594599,"Area"
"32",31,1.759449244,"Area"
"33",32,1.687791586,"Area"
"34",33,1.620269299,"Area"
"35",34,1.510367274,"Area"
"36",35,2.350581169,"Area"
"37",36,2.540321827,"Area"
"38",37,2.042922735,"Area"
"39",38,3.334700823,"Area"
"40",39,1.861636281,"Area"
"41",40,2.293594599,"Area"
"42",41,2.293594599,"Area"
"43",42,2.058083534,"Area"
"44",43,3.397807598,"Area"
"45",44,2.07318902,"Area"
"46",45,2.012431383,"Area"
"47",46,3.238903046,"Area"
"48",47,2.240727663,"Area"
"49",48,2.138020754,"Area"
"50",49,2.058083534,"Area"
"51",50,2.068159819,"Area"
"52",51,2.00732708,"Area"
"53",52,2.448684692,"Area"
"54",53,2.157771826,"Area"
"55",54,1.557113647,"Area"
"56",55,2.162694931,"Area"
"57",56,3.47587657,"Area"
"58",57,4.136330128,"Area"
"59",58,3.222799301,"Area"
"60",59,2.177432299,"Area"
"61",60,2.152842283,"Area"
"62",61,2.138020754,"Area"
"63",62,2.032784224,"Area"
"64",63,3.145748615,"Area"
"65",64,1.924749136,"Area"
"66",65,5.009719849,"Area"
"67",66,2.022620678,"Area"
"68",67,1.893324256,"Area"
"69",68,2.513006687,"Area"
"70",69,2.260023355,"Area"
"71",70,1.872228622,"Area"
"72",71,1.792032599,"Area"
"73",72,2.792938709,"Area"
"74",73,2.093243837,"Area"
"75",74,2.07318902,"Area"
"76",75,2.779933453,"Area"
"77",76,1.903827906,"Area"
"78",77,1.802827835,"Area"
"79",78,2.187229395,"Area"
"80",79,2.058083534,"Area"
"81",80,2.549394608,"Area"
"82",81,2.705651045,"Area"
"83",82,2.411547422,"Area"
"84",83,1.709999919,"Area"
"85",84,2.599008083,"Area"
"86",85,1.986843944,"Area"
"87",86,1.726561546,"Area"
"88",87,2.434791088,"Area"
"89",88,2.08322835,"Area"
"90",89,3.397807598,"Area"
"91",90,3.009623528,"Area"
"92",91,2.00732708,"Area"
"93",92,2.00732708,"Area"
"94",93,2.147907495,"Area"
"95",94,2.088239431,"Area"
"96",95,2.307906866,"Area"
"97",96,2.971964121,"Area"
"98",97,1.877513528,"Area"
"99",98,3.084246397,"Area"
"100",99,1.909068942,"Area"
"101",100,4.627286911,"Area"
"102",101,2.326921701,"Area"
"103",102,2.326921701,"Area"
"104",103,3.92364502,"Area"
"105",104,2.037856817,"Area"
"106",105,2.138020754,"Area"
"107",106,1.888061285,"Area"
"108",107,3.370271683,"Area"
"109",108,1.614579201,"Area"
"110",109,2.08322835,"Area"
"111",110,2.245559454,"Area"
"112",111,1.986843944,"Area"
"113",112,1.929961681,"Area"
"114",113,2.152842283,"Area"
"115",114,1.603168964,"Area"
"116",115,1.6542027,"Area"
"117",116,2.162694931,"Area"
"118",117,3.254967213,"Area"
"119",118,1.950742006,"Area"
"120",119,2.378816366,"Area"
"121",120,2.467147589,"Area"
"122",121,2.103235006,"Area"
"123",122,4.333258152,"Area"
"124",123,2.088239431,"Area"
"125",124,2.162694931,"Area"
"126",125,2.068159819,"Area"
"127",126,1.786622763,"Area"
"128",127,3.318830729,"Area"
"129",128,3.872330427,"Area"
"130",129,2.848949909,"Area"
"131",130,2.138020754,"Area"
"132",131,2.490130186,"Area"
"133",132,2.397547245,"Area"
"134",133,4.146997929,"Area"
"135",134,1.971411943,"Area"
"136",135,2.652597666,"Area"
"137",136,2.123147726,"Area"
"138",137,2.303141117,"Area"
"139",138,2.630335093,"Area"
"140",139,2.992915392,"Area"
"141",140,2.017529249,"Area"
"142",141,1.698913932,"Area"
"143",142,1.991974235,"Area"
"144",143,1.671039701,"Area"
"145",144,1.824322224,"Area"
"146",145,2.603494644,"Area"
"147",146,1.845690727,"Area"
"148",147,2.197004795,"Area"
"149",148,1.856328368,"Area"
"150",149,2.047982454,"Area"
"151",150,2.307906866,"Area"
"152",151,2.07318902,"Area"
"153",152,1.945557475,"Area"
"154",153,2.08322835,"Area"
"155",154,1.792032599,"Area"
"156",155,1.961090326,"Area"
"157",156,1.924749136,"Area"
"158",157,4.552979469,"Area"
"159",158,2.836073637,"Area"
"160",159,3.214732409,"Area"
"161",160,1.961090326,"Area"
"162",161,2.027705908,"Area"
"163",162,4.840156078,"Area"
"164",163,2.279237032,"Area"
"165",164,2.08322835,"Area"
"166",165,4.853304863,"Area"
"167",166,1.74852097,"Area"
"168",167,4.471218109,"Area"
"169",168,1.935167432,"Area"
"170",169,2.07318902,"Area"
"171",170,1.802827835,"Area"
"172",171,2.49929285,"Area"
"173",172,3.202613115,"Area"
"174",173,1.829676032,"Area"
"175",174,2.128111362,"Area"
"176",175,2.661476612,"Area"
"177",176,2.665910482,"Area"
"178",177,1.591717601,"Area"
"179",178,2.027705908,"Area"
"180",179,3.226829529,"Area"
"181",180,2.383506298,"Area"
"182",181,3.382086277,"Area"
"183",182,1.935167432,"Area"
"184",183,2.128111362,"Area"
