"","ID_Object","Value","Name"
"1",0,7.462538242,"Area"
"2",1,7.098242283,"Area"
"3",2,7.142966986,"Area"
"4",3,7.718833447,"Area"
"5",4,7.823167801,"Area"
"6",5,7.895917654,"Area"
"7",6,7.192119837,"Area"
"8",7,7.167613506,"Area"
"9",8,8.716297865,"Area"
"10",9,7.775591612,"Area"
"11",10,7.603494644,"Area"
"12",11,7.476353168,"Area"
"13",12,7.444057941,"Area"
"14",13,7.522127867,"Area"
"15",14,7.264834404,"Area"
"16",15,7.192119837,"Area"
"17",16,7.411547422,"Area"
"18",17,7.231048346,"Area"
"19",18,7.457924604,"Area"
"20",19,7.416205168,"Area"
"21",20,7.522127867,"Area"
"22",21,7.714443207,"Area"
"23",22,7.420858622,"Area"
"24",23,7.558450699,"Area"
"25",24,7.490130186,"Area"
"26",25,7.531233072,"Area"
"27",26,7.639251471,"Area"
"28",27,7.303141117,"Area"
"29",28,7.549394608,"Area"
"30",29,7.490130186,"Area"
"31",30,7.929837227,"Area"
"32",31,7.341131926,"Area"
"33",32,7.522127867,"Area"
"34",33,7.718833447,"Area"
"35",34,7.540321827,"Area"
"36",35,7.480949879,"Area"
"37",36,7.581021786,"Area"
"38",37,7.692437172,"Area"
"39",38,7.652597666,"Area"
"40",39,7.848949909,"Area"
"41",40,7.736360312,"Area"
"42",41,7.157771826,"Area"
"43",42,7.805913687,"Area"
"44",43,7.284028053,"Area"
"45",44,7.197004795,"Area"
"46",45,7.378816366,"Area"
"47",46,7.531233072,"Area"
"48",47,7.648152828,"Area"
"49",48,7.326921701,"Area"
"50",49,7.255206823,"Area"
"51",50,7.740732908,"Area"
"52",51,7.453306913,"Area"
"53",52,7.585524321,"Area"
"54",53,7.710048676,"Area"
"55",54,7.823167801,"Area"
"56",55,7.857518196,"Area"
"57",56,6.898579717,"Area"
"58",57,7.416205168,"Area"
"59",58,6.882791042,"Area"
"60",59,7.08322835,"Area"
"61",60,7.162694931,"Area"
"62",61,8.129407406,"Area"
"63",62,7.369423151,"Area"
"64",63,6.840359926,"Area"
"65",64,7.444057941,"Area"
"66",65,7.240727663,"Area"
"67",66,7.235890627,"Area"
"68",67,7.562972784,"Area"
"69",68,6.69335711,"Area"
"70",69,7.585524321,"Area"
"71",70,8.274991751,"Area"
"72",71,8.7798419,"Area"
"73",72,8.97825408,"Area"
"74",73,7.784271717,"Area"
"75",74,8.912676811,"Area"
"76",75,7.374122143,"Area"
"77",76,7.883146286,"Area"
"78",77,8.21069479,"Area"
"79",78,7.585524321,"Area"
"80",79,10.328024864,"Area"
"81",80,8.35448575,"Area"
"82",81,7.444057941,"Area"
"83",82,9.56992054,"Area"
"84",83,8.059473276,"Area"
"85",84,7.420858622,"Area"
"86",85,7.182333708,"Area"
"87",86,7.322175026,"Area"
"88",87,7.182333708,"Area"
"89",88,8.659775019,"Area"
"90",89,7.364719391,"Area"
"91",90,7.152842283,"Area"
"92",91,7.364719391,"Area"
"93",92,7.364719391,"Area"
"94",93,7.058083534,"Area"
"95",94,7.31742382,"Area"
"96",95,7.485542059,"Area"
"97",96,7.201884031,"Area"
"98",97,7.118178606,"Area"
"99",98,7.425507307,"Area"
"100",99,7.113203287,"Area"
"101",100,7.625871181,"Area"
"102",101,7.027705908,"Area"
"103",102,7.303141117,"Area"
"104",103,7.211626768,"Area"
"105",104,8.113023043,"Area"
"106",105,7.152842283,"Area"
"107",106,7.457924604,"Area"
"108",107,6.950742006,"Area"
"109",108,7.388191223,"Area"
"110",109,7.147907495,"Area"
"111",110,7.216490507,"Area"
"112",111,6.753989458,"Area"
"113",112,6.898579717,"Area"
"114",113,7.749468327,"Area"
"115",114,7.430151463,"Area"
"116",115,7.331662893,"Area"
"117",116,7.063124895,"Area"
"118",117,7.758189917,"Area"
"119",118,7.513006687,"Area"
"120",119,7.612457037,"Area"
"121",120,7.298370123,"Area"
"122",121,7.350581169,"Area"
"123",122,7.172525406,"Area"
"124",123,7.670340776,"Area"
"125",124,7.921375751,"Area"
"126",125,6.492650151,"Area"
"127",126,7.326921701,"Area"
"128",127,7.172525406,"Area"
"129",128,7.157771826,"Area"
"130",129,8.909017563,"Area"
"131",130,7.397547245,"Area"
"132",131,7.766897678,"Area"
"133",132,6.808213592,"Area"
"134",133,8.386020422,"Area"
"135",134,6.516249776,"Area"
"136",135,7.383506298,"Area"
"137",136,7.411547422,"Area"
"138",137,7.788606644,"Area"
"139",138,8.436953306,"Area"
"140",139,7.749468327,"Area"
"141",140,7.657039165,"Area"
"142",141,7.67918992,"Area"
"143",142,7.430151463,"Area"
"144",143,7.138020754,"Area"
"145",144,8.190470457,"Area"
"146",145,7.535779715,"Area"
"147",146,7.298370123,"Area"
"148",147,8.97825408,"Area"
"149",148,7.374122143,"Area"
"150",149,7.643703938,"Area"
"151",150,7.397547245,"Area"
"152",151,7.49929285,"Area"
"153",152,6.919529676,"Area"
"154",153,8.286976814,"Area"
"155",154,7.211626768,"Area"
"156",155,7.976159573,"Area"
"157",156,7.544860125,"Area"
"158",157,7.162694931,"Area"
"159",158,8.218767881,"Area"
"160",159,7.113203287,"Area"
"161",160,8.934597254,"Area"
"162",161,7.118178606,"Area"
"163",162,6.36551702,"Area"
"164",163,7.118178606,"Area"
"165",164,7.108222485,"Area"
"166",165,7.138020754,"Area"
"167",166,7.1330688,"Area"
"168",167,7.331662893,"Area"
"169",168,8.202613115,"Area"
"170",169,7.027705908,"Area"
"171",170,7.123147726,"Area"
"172",171,8.720050812,"Area"
"173",172,7.853235722,"Area"
"174",173,7.264834404,"Area"
"175",174,7.118178606,"Area"
"176",175,7.874616146,"Area"
"177",176,7.07318902,"Area"
"178",177,7.572005272,"Area"
"179",178,6.824322224,"Area"
"180",179,7.07318902,"Area"
"181",180,7.182333708,"Area"
"182",181,8.338662386,"Area"
"183",182,7.128111362,"Area"
"184",183,7.187229395,"Area"
"185",184,8.87600708,"Area"
"186",185,6.961090326,"Area"
"187",186,6.914302826,"Area"
"188",187,7.167613506,"Area"
"189",188,7.397547245,"Area"
"190",189,7.90866065,"Area"
"191",190,6.986843944,"Area"
"192",191,7.439426422,"Area"
"193",192,6.893324256,"Area"
"194",193,7.369423151,"Area"
"195",194,7.665910482,"Area"
"196",195,7.522127867,"Area"
"197",196,7.762545347,"Area"
"198",197,7.727603674,"Area"
"199",198,7.411547422,"Area"
"200",199,7.240727663,"Area"
"201",200,8.753741741,"Area"
"202",201,6.981706262,"Area"
"203",202,7.406885386,"Area"
"204",203,7.326921701,"Area"
"205",204,8.071872234,"Area"
"206",205,7.08322835,"Area"
"207",206,7.369423151,"Area"
"208",207,7.235890627,"Area"
"209",208,7.162694931,"Area"
"210",209,7.123147726,"Area"
"211",210,7.661476612,"Area"
"212",211,8.270991325,"Area"
"213",212,7.762545347,"Area"
"214",213,8.071872234,"Area"
"215",214,7.177432299,"Area"
