"","ID_Object","Value","Name"
"1",0,1.172915697,"Area"
"2",1,0.848592699,"Area"
"3",2,1.90931797,"Area"
"4",3,1.665654182,"Area"
"5",4,2.083499908,"Area"
"6",5,2.058352232,"Area"
"7",6,1.950996637,"Area"
"8",7,2.346164703,"Area"
"9",8,1.898827314,"Area"
"10",9,2.133347034,"Area"
"11",10,1.997358799,"Area"
"12",11,2.177716255,"Area"
"13",12,2.053304195,"Area"
"14",13,1.819197655,"Area"
"15",14,2.279534817,"Area"
"16",15,1.95617497,"Area"
"17",16,1.776010156,"Area"
"18",17,2.118454695,"Area"
"19",18,1.819197655,"Area"
"20",19,1.940619111,"Area"
"21",20,4.186541557,"Area"
"22",21,2.007588863,"Area"
"23",22,1.95617497,"Area"
"24",23,1.919780016,"Area"
"25",24,1.803063035,"Area"
"26",25,2.048250198,"Area"
"27",26,1.614789844,"Area"
"28",27,1.883036733,"Area"
"29",28,1.563111544,"Area"
"30",29,1.813827634,"Area"
"31",30,1.992234349,"Area"
"32",31,1.528180242,"Area"
"33",32,1.971669316,"Area"
"34",33,2.322478056,"Area"
"35",34,1.940619111,"Area"
"36",35,2.18751502,"Area"
"37",36,1.84593153,"Area"
"38",37,2.123425007,"Area"
"39",38,1.883036733,"Area"
"40",39,2.043189526,"Area"
"41",40,1.688012004,"Area"
"42",41,1.851254821,"Area"
"43",42,2.143246174,"Area"
"44",43,2.617273808,"Area"
"45",44,1.676851511,"Area"
"46",45,1.74327147,"Area"
"47",46,1.715753198,"Area"
"48",47,1.861878991,"Area"
"49",48,2.192405939,"Area"
"50",49,1.840600371,"Area"
"51",50,1.95617497,"Area"
"52",51,1.919780016,"Area"
"53",52,1.851254821,"Area"
"54",53,1.457086325,"Area"
"55",54,1.665654182,"Area"
"56",55,1.637493849,"Area"
"57",56,1.463076353,"Area"
"58",57,2.581358433,"Area"
"59",58,1.715753198,"Area"
"60",59,1.872473001,"Area"
"61",60,1.803063035,"Area"
"62",61,1.803063035,"Area"
"63",62,1.856570482,"Area"
"64",63,1.152779341,"Area"
"65",64,1.414805055,"Area"
"66",65,1.56889534,"Area"
"67",66,1.77057457,"Area"
"68",67,1.79226613,"Area"
"69",68,1.893571019,"Area"
"70",69,1.813827634,"Area"
"71",70,1.786855817,"Area"
"72",71,1.74327147,"Area"
"73",72,1.904076576,"Area"
"74",73,1.475019693,"Area"
"75",74,1.861878991,"Area"
"76",75,1.620480776,"Area"
"77",76,1.90931797,"Area"
"78",77,2.968151808,"Area"
"79",78,1.803063035,"Area"
"80",79,1.867179513,"Area"
"81",80,1.888307571,"Area"
"82",81,2.078483105,"Area"
"83",82,2.053304195,"Area"
"84",83,1.840600371,"Area"
"85",84,1.786855817,"Area"
"86",85,1.486914992,"Area"
"87",86,1.950996637,"Area"
"88",87,1.7046839,"Area"
"89",88,1.813827634,"Area"
"90",89,1.737785339,"Area"
"91",90,1.539867997,"Area"
"92",91,2.727959394,"Area"
"93",92,1.637493849,"Area"
"94",93,1.480973363,"Area"
"95",94,1.69913578,"Area"
"96",95,1.551511645,"Area"
"97",96,1.277547002,"Area"
"98",97,1.930213571,"Area"
"99",98,1.840600371,"Area"
"100",99,1.74327147,"Area"
"101",100,1.309368372,"Area"
"102",101,2.182618141,"Area"
"103",102,1.803063035,"Area"
"104",103,1.748749375,"Area"
"105",104,1.74327147,"Area"
"106",105,1.365695357,"Area"
"107",106,1.56889534,"Area"
"108",107,1.574668765,"Area"
