"ID_Time","ID_Object","ID_StatisticsType","Value","ID_Category","ID_FactorList","Name","Unit"
-1,-1,105,368,1,0,"Total Number of Disconnected Components",""
-1,-1,93,368,1,0,"Total Number of Surfaces",""
-1,-1,104,741228,1,0,"Total Number of Triangles",""
-1,-1,198,581974,1,0,"Total Number of Voxels",""
0,371,60,5.25591516494751,0,0,"Area","um^2"
0,372,60,4.60560941696167,0,0,"Area","um^2"
0,373,60,13.3166484832764,0,0,"Area","um^2"
0,374,60,6.50556516647339,0,0,"Area","um^2"
0,375,60,9.6209831237793,0,0,"Area","um^2"
0,376,60,13.8246898651123,0,0,"Area","um^2"
0,377,60,4.77352809906006,0,0,"Area","um^2"
0,378,60,9.62947940826416,0,0,"Area","um^2"
0,379,60,3.31463479995728,0,0,"Area","um^2"
0,380,60,7.68770599365234,0,0,"Area","um^2"
0,381,60,15.3154363632202,0,0,"Area","um^2"
0,382,60,9.88181114196777,0,0,"Area","um^2"
0,383,60,9.31889247894287,0,0,"Area","um^2"
0,384,60,16.13450050354,0,0,"Area","um^2"
0,385,60,5.68279361724854,0,0,"Area","um^2"
0,386,60,8.17606449127197,0,0,"Area","um^2"
0,387,60,3.37179565429688,0,0,"Area","um^2"
0,388,60,6.00353240966797,0,0,"Area","um^2"
0,389,60,2.9348292350769,0,0,"Area","um^2"
0,390,60,3.62991309165955,0,0,"Area","um^2"
0,391,60,13.5350942611694,0,0,"Area","um^2"
0,392,60,6.22082996368408,0,0,"Area","um^2"
0,393,60,8.88899326324463,0,0,"Area","um^2"
0,394,60,4.38994836807251,0,0,"Area","um^2"
0,395,60,20.0405101776123,0,0,"Area","um^2"
0,396,60,5.1444149017334,0,0,"Area","um^2"
0,397,60,10.4959449768066,0,0,"Area","um^2"
0,398,60,3.64072060585022,0,0,"Area","um^2"
0,399,60,4.53217220306396,0,0,"Area","um^2"
0,400,60,11.7886714935303,0,0,"Area","um^2"
0,401,60,6.04846525192261,0,0,"Area","um^2"
0,402,60,13.4064483642578,0,0,"Area","um^2"
0,403,60,3.23638916015625,0,0,"Area","um^2"
0,404,60,4.83876371383667,0,0,"Area","um^2"
0,405,60,3.35152125358582,0,0,"Area","um^2"
0,406,60,6.36912202835083,0,0,"Area","um^2"
0,407,60,6.87158823013306,0,0,"Area","um^2"
0,408,60,8.7318286895752,0,0,"Area","um^2"
0,409,60,3.33200025558472,0,0,"Area","um^2"
0,410,60,6.10732364654541,0,0,"Area","um^2"
0,411,60,7.39383316040039,0,0,"Area","um^2"
0,412,60,6.39421892166138,0,0,"Area","um^2"
0,413,60,6.92787313461304,0,0,"Area","um^2"
0,414,60,14.5115175247192,0,0,"Area","um^2"
0,415,60,13.6690521240234,0,0,"Area","um^2"
0,416,60,3.53011655807495,0,0,"Area","um^2"
0,417,60,8.96378135681152,0,0,"Area","um^2"
0,418,60,2.32952308654785,0,0,"Area","um^2"
0,419,60,1.97498488426208,0,0,"Area","um^2"
0,420,60,5.13997077941895,0,0,"Area","um^2"
0,421,60,9.51993656158447,0,0,"Area","um^2"
0,422,60,8.71054744720459,0,0,"Area","um^2"
0,423,60,5.9915828704834,0,0,"Area","um^2"
0,424,60,5.28308582305908,0,0,"Area","um^2"
0,425,60,7.92799758911133,0,0,"Area","um^2"
0,426,60,4.29205894470215,0,0,"Area","um^2"
0,427,60,5.63363552093506,0,0,"Area","um^2"
0,428,60,5.93827676773071,0,0,"Area","um^2"
0,429,60,3.37784647941589,0,0,"Area","um^2"
0,430,60,5.77074766159058,0,0,"Area","um^2"
0,431,60,3.79198694229126,0,0,"Area","um^2"
0,432,60,3.04400539398193,0,0,"Area","um^2"
0,433,60,0.292219012975693,0,0,"Area","um^2"
0,434,60,5.56742286682129,0,0,"Area","um^2"
0,435,60,4.6090350151062,0,0,"Area","um^2"
0,436,60,5.3203501701355,0,0,"Area","um^2"
0,437,60,2.66405916213989,0,0,"Area","um^2"
0,438,60,4.95565605163574,0,0,"Area","um^2"
0,439,60,9.91746711730957,0,0,"Area","um^2"
0,440,60,3.33040261268616,0,0,"Area","um^2"
0,441,60,0.99093371629715,0,0,"Area","um^2"
0,442,60,6.59764623641968,0,0,"Area","um^2"
0,443,60,9.00856685638428,0,0,"Area","um^2"
0,444,60,5.50666999816895,0,0,"Area","um^2"
0,445,60,6.354736328125,0,0,"Area","um^2"
0,446,60,5.26075458526611,0,0,"Area","um^2"
0,447,60,5.24157953262329,0,0,"Area","um^2"
0,448,60,4.63001298904419,0,0,"Area","um^2"
0,449,60,28.7241821289062,0,0,"Area","um^2"
0,450,60,5.1634669303894,0,0,"Area","um^2"
